node,relation_nodes
2991816832,"1333394858,420248763,6530497242,1333394856,1333394818,420248523,6045554033,6045578881,6045579392,1334198578,420249033,6530229489,6530229492,6530363596,6555934466,6556013094"
1333394858,"2991816832,6334693083,3787112191,3787112199,6524697559,1333394856,1333394818,420248523,6054002239,6045554033,6045578881,6045579392,1334198578,6555934466,6556013094"
420266773,"420266767,420266829,420266772,2173660625,5690647885,3768380667,5922526006,6320561085,3219704596"
420266767,"420266773,420266709,6157820288,420266772,2173660625,5690647885,3219704596"
420266692,"420266449,420266478,420266727,6157736666,420266717,420266699,420266722,420266720,420266709,420266574,2173660743,2173660708,2173660818,2174686602,2177218792,4290341028,2178476681,2178476151,2178476606,420266589,5971176482,2180045103,2183070472,2183070488,2183070381,5659178714,2186707450,3635426759,1726781817,420266569,2999214881,6148990140,6148990154,6148990164,6148990173,420266678,6157736658,6157736665,2180045087,6157736670,6157816077,2174686321"
420266449,"420266692,420265809,420266482,2164044601,2168887478,2168887527,2173660600,2175276272,2175276434,3221495198,2179875726,6157816043,6157816054,6157820335,420266589"
2179890438,"2178452493,2173689999,2179890437,2179890435,2179890439,2179890401,2179890442,2179890431,2178452461"
2178452493,"2179890438,2178452461"
420266799,"420266717,420266540,420266482,420266402,2175276344,2190862595,6149085435"
420266717,"420266799,420266692,420266478,420266806,2175276344,6149085435"
420266121,"420266772,420266475,2178500980,946186464,946186295,2168682558,2177218804,2178452567,5759152225,6148990156,467023185,1997671845,2617007622,3635426764,5665863335,5672321903,2173660777"
420266772,"420266773,420266767,420266121,420266108"
420266068,"420266668,1726781754,420266744,2092582356,5446967790,420266780"
420266668,"420266068,420266666,420266687,420266354,420266783,420266782,1727016462,1726781676,5446966713,420266812"
420265828,"420265883,420266358,1736755354,420265809,420266374,420265830,2175276411,2175276467,2178059301,2178059275,2178059328,2178452478,2178452559,2178452445,2183061102,2183061159,2186707292,2186707475,2186707546,2186707514,2186707301,2190742036,2190742078,2190742093,420265824,420266274,2164910772"
420265883,"420265828,420265885,2178452454,2178059301,2178059275,2178059328,2178452442,2178452553,2178452478,2178452557,2178452486,2178452559,2178452445,2178500992,2178501017,2164044701,4290306588,6402111177"
420266799,"420266717,420266540,420266482,420266402,2175276344,2190862595,6149085435"
420266540,"420266799,420266783,3226990411,420266694,420266791,2190862595"
420266638,"420266699,5446819465,2173660925"
420266699,"420266638,420266692,420266478,420266722,420266720,420266709,2173660743,2177218792,5971176482,2180045103,3635426759,1726781817,2999214881,6148990140,6148990154,6148990164,6148990173,6157736658,2180045087,6157736670,6157816077,2173660925"
420266722,"467023185,420266692,420266478,420266699,420266720,420266709,2173660743,2177218792,5971176482,2180045103,3635426759,1726781817,2999214881,6148990140,6148990154,6148990164,6148990173,6157736658,2180045087,6157736670,6157816077,6401284155"
467023185,"420266121,420266722,1997671845,2617007622,3635426764,5665863335,5672321903,2173660777,6401284155"
1726781737,"420266354,1726781754,420266787,2174686265,4779272265"
420266354,"1726781737,420266666,420266687,420266668,420266783,420266782,1727016462,1726781676,5446966713,420266812"
420266542,"420266491,3226990411,420266694,5720623467"
420266491,"420266542,420266482,420266402,5720623467"
2173660925,"420266638,420266699,420266814"
420266814,"2173660925,420266806,420266751,5677538623,420266817"
420266540,"420266799,420266783,3226990411,420266694,420266791,2190862595"
420266783,"420266540,420266666,420266687,420266668,420266354,420266782,1727016462,1726781676,5446966713,420266812,420266791"
420266720,"946186290,420266692,420266478,420266699,420266722,420266709,2173660743,2177218792,5971176482,2180045103,3635426759,1726781817,2999214881,6148990140,6148990154,6148990164,6148990173,6157736658,2180045087,6157736670,6157816077,946186240,946186331,946186573,2174686291,2177218867,2178476201"
946186290,"420266720,420266238,5659329773,946186240,946186331,946186573,2174686291,2177218867,2178476201,2183070448,2183070414"
2195625503,"2190862705,2987273573,420266614"
2190862705,"2195625503,420266687,420266812"
420266740,"420266324,420266744,420266795,2987307438"
420266324,"420266740,2178476330,4290305817,4779272262,2987307438"
420266328,"420266666,471244511,420266744,2178476330,2092582354,5446967789"
420266666,"420266328,420266687,420266668,420266354,420266783,420266782,1727016462,2092582354,1726781676,5446966713,5446967789,420266812"
2201227375,"377671538,5444156149,2212541895,2170972690,1819473133,1819473129,2170972633,2210615765,2210615729,2210755395,2212541852,2212541864,2212541871,2212541889,1819473137,3006869697,420266538,1037737374,1037737325,1037737172,4290305974,4290305991,4290306516,1037737183,420266171,5666130977,6149050650,420266197,4290306526"
377671538,"377671545,2201227375,4281258646,2170972690,1819473133,1819473129,2170972633,2210615765,2210615729,2210755395,2212541852,2212541864,2212541871,377671543,1819473137,3006869697,420266538,4281258492,3768473969,4281258637,1037737374,1037737325,1037737172,4290305974,4290305991,4290306516,1037737183,420266171,5666130977,3768473968,6149050650,420266197,4290306526"
